,Total,oik,oik dependents,Oik-nivo-slider,Oik-privacy-policy,Cookie-cat,bbboing,Uk-tides,Oik-css,Oik-batchmove,Oik-read-more,Oik-weightcountry-shipping,Oik-bwtrace,Allow-reinstalls,Oik-weight-zone-shipping,Sb-children-block,Increase,Increase,Ratio,,,,,,,,,,
29 Apr 12,3804,1582,2222,2222,,,,,,,,,,,,,127,558,4.3937007874,,oik v1.12,ons v1.2,,,,,,,
10 May 12,6907,2684,4223,4223,,,,,,,,,,,,,1102,2001,1.8157894737,,,,,,,,,,
16 May 12,9057,3390,5667,5257,290,,57,63,,,,,,,,,706,1444,2.045325779,,oik v1.13,ons v1.3 12 May,opp v1.0,C-c v1.0 17 May,,,,,
22 May 12,11337,4162,7175,6326,622,102,59,66,,,,,,,,,772,1508,1.9533678756,,,,,,,,,,
27 May 12,13425,4875,8550,7050,1018,348,61,73,,,,,,,,,713,1375,1.9284712482,,,,,,,,,,
28 May 12,13904,5049,8855,7188,1112,420,61,74,,,,,,,,,174,305,1.7528735632,,,,,,,,,,
29 May 12,14544,5270,9274,7422,1229,486,62,75,,,,,,,,,221,419,1.8959276018,,,,,,,,,,
30 May 12,15008,5437,9571,7609,1301,524,62,75,,,,,,,,,167,297,1.7784431138,,,,,,,,,,
1 Jun 12,15694,5670,10024,7886,1403,596,62,77,,,,,,,,,233,453,1.9442060086,,,,,,,,,,
3 Jun 12,16166,5833,10333,8081,1490,621,63,78,,,,,,,,,163,309,1.8957055215,,,,,,,,,,
5 Jun 12,16992,6127,10865,8424,1626,670,63,82,,,,,,,,,294,532,1.8095238095,,,,,,,,,,
7 Jun 12,17756,6382,11374,8729,1764,732,64,85,,,,,,,,,549,1041,1.8961748634,,,,,,,,,,
9 Jun 12,18400,6612,11788,8980,1872,784,66,86,,,,,,,,,230,414,1.8,,cc v1.1,,,C-c 1.1 782,,,,,
11 Jun 12,19075,6823,12252,9209,1984,905,67,87,,,,,,,,,211,464,2.1990521327,,,,,,,,,,
12 Jun 12,19471,6947,12524,9365,2042,959,68,90,,,,,,,,,124,272,2.1935483871,,,,,,,,,,
13 Jun 12,19897,7079,12818,9543,2115,1000,68,92,,,,,,,,,132,294,2.2272727273,,,,,,,,,,
14 Jun 12,20151,7156,12995,9664,2142,1024,69,96,,,,,,,,,77,177,2.2987012987,,,,,,,,,,
16 Jun 12,20942,7425,13517,9996,2259,1094,70,98,,,,,,,,,269,522,1.9405204461,,,,,,,,,,
17 Jun 12,21113,7487,13626,10057,2297,1103,71,98,,,,,,,,,62,109,1.7580645161,,,,,,,,,,
2 Jul 12,26110,9151,16959,12214,3171,1389,76,109,,,,,,,,,1664,3333,2.0030048077,,oik v1.14,ons v1.4,,,,,,,
3 Jul 12,26486,9339,17147,12373,3193,1395,77,109,,,,,,,,,188,188,1,,,,,,,,,,
4 Jul 12,27186,9685,17501,12639,3264,1411,77,110,,,,,,,,,346,354,1.0231213873,,,,,,,,,,
5 Jul 12,27641,9889,17752,12817,3324,1424,77,110,,,,,,,,,204,251,1.2303921569,,oik v1.15,,,,,,,,
5 Jul 12,27729,9942,17787,12847,3328,1425,77,110,,,,,,,,,53,35,0.6603773585,,,,,,,,,,
6 Jul 12,28118,10165,17953,12955,3374,1433,79,112,,,,,,,,,223,166,0.7443946188,,,,,,,,,,
9 Jul 12,29010,10598,18412,13249,3519,1451,80,113,,,,,,,,,433,459,1.0600461894,,,ons v1.5,,,,,,,
11 Jul 12,30204,11086,19118,13789,3650,1486,80,113,,,,,,,,,488,706,1.4467213115,,,,,,,,,,
12 Jul 12,30634,11267,19367,13957,3720,1497,80,113,,,,,,,,,181,249,1.3756906077,,,,,,,,,,
19 Jul 12,33196,12315,20881,14928,4147,1605,81,120,,,,,,,,,1048,1514,1.4446564885,,,,,,,,,,
20 Jul 12,33637,12497,21140,15104,4213,1620,82,121,,,,,,,,,182,259,1.4230769231,,,,,,,,,,
26 Jul 12,35580,13270,22310,15871,4563,1672,82,122,,,,,,,,,773,1170,1.5135834411,,,,,,,,,,
29 Jul 12,36379,13576,22803,16188,4716,1692,83,124,,,,,,,,,306,493,1.6111111111,,,,,,,,,,
30 Jul 12,36550,13646,22904,16257,4746,1694,83,124,,,,,,,,,70,101,1.4428571429,,,,,,,,,,
5 Aug 12,38349,14355,23994,16944,5075,1757,87,131,,,,,,,,,709,1090,1.5373765867,,,,,,,,,,
7 Aug 12,38988,14605,24383,17192,5189,1780,88,134,,,,,,,,,250,389,1.556,,oik v1.16,,,,,,,,
9 Aug 12,39784,15077,24707,17385,5290,1807,89,136,,,,,,,,,472,324,0.686440678,,,,,,,,,,
10 Aug 12,40057,15216,24841,17477,5326,1812,90,136,,,,,,,,,139,134,0.964028777,,,,,,,,,,
14 Aug 12,41332,15829,25503,17891,5536,1846,91,139,,,,,,,,,613,662,1.0799347471,,,,,,,,,,
20 Aug 12,42956,16549,26407,18458,5831,1886,91,141,,,,,,,,,720,904,1.2555555556,,,ons v1.6,,,,,,,
21 Aug 12,43429,16702,26727,18701,5897,1897,91,141,,,,,,,,,153,320,2.091503268,,,,,,,,,,
24 Aug 12,44452,17074,27378,19184,6036,1917,94,147,,,,,,,,,372,651,1.75,,,,,,,,,,
28 Aug 12,45581,17531,28050,19647,6201,1957,96,149,,,,,,,,,457,672,1.4704595186,,,,,,,,,,
30 Aug 12,46232,17780,28452,19939,6292,1974,97,150,,,,,,,,,249,402,1.6144578313,,,,,,,,,,
3 Sep 12,47276,18185,29091,20360,6472,2010,98,151,,,,,,,,,405,639,1.5777777778,,,,,,,,,,
6 Sep 12,48356,18594,29762,20816,6654,2043,98,151,,,,,,,,,409,671,1.6405867971,,,,,,,,,,
8 Sep 12,48948,18829,30119,21065,6743,2061,99,151,,,,,,,,,235,357,1.5191489362,,,,,,,,,,
9 Sep 12,49102,18881,30221,21132,6773,2065,99,152,,,,,,,,,52,102,1.9615384615,,,,,,,,,,
11 Sep 12,49734,19151,30583,21377,6869,2085,99,153,,,,,,,,,270,362,1.3407407407,,,,,,,,,,
12 Sep 12,50033,19272,30761,21500,6918,2091,99,153,,,,,,,,,121,178,1.4710743802,,,,,,,,,,
24 Sep 12,53273,20544,32729,22842,7462,2168,100,157,,,,,,,,,1272,1968,1.5471698113,,,,,,,,,,
27 Sep 12,54016,20831,33185,23159,7566,2201,100,159,,,,,,,,,287,456,1.5888501742,,,,,,,,,,
1 Oct 12,54903,21184,33719,23536,7702,2219,100,162,,,,,,,,,353,534,1.5127478754,,,,,,,,,,
2 Oct 12,55141,21279,33862,23642,7733,2224,100,163,,,,,,,,,95,143,1.5052631579,,,,,,,,,,
23 Oct 12,59296,22946,36350,25404,8326,2342,103,175,,,,,,,,,1667,2488,1.4925014997,,,,,,,,,,
30 Oct 12,60595,23465,37130,25957,8525,2364,105,179,,,,,,,,,519,780,1.5028901734,,,,,,,,,,
19 Nov 12,64225,24937,39288,27403,9114,2467,112,192,,,,,,,,,1472,2158,1.4660326087,,,,,,,,,,
20 Nov 12,64373,24994,39379,27468,9136,2470,112,193,,,,,,,,,57,91,1.5964912281,,,,,,,,,,
26 Nov 12,65362,25363,39999,27902,9288,2497,115,197,,,,,,,,,369,620,1.6802168022,,,,,,,,,,
27 Nov 12,65564,25440,40124,27995,9310,2505,115,199,,,,,,,,,77,125,1.6233766234,,oik v1.17,25440,,,,,,,
28 Nov 12,66076,25805,40271,28092,9350,2515,115,199,,,,,,,,,365,147,0.402739726,,,,,,,,,,
29 Nov 12,66295,25946,40349,28157,9360,2517,115,200,,,,,,,,,141,78,0.5531914894,,oik v1.17.2,ons v1.7,,,,,,,
30 Nov 12,66850,26193,40657,28430,9391,2521,115,200,,,,,,,,,247,308,1.2469635628,,,,,,,,,,
1 Dec 12,67083,26295,40788,28528,9423,2521,116,200,,,,,,,,,102,131,1.2843137255,,,,,,,,,,
4 Dec 12,68039,26729,41310,28970,9484,2537,117,202,,,,,,,,,434,522,1.202764977,,,,,,,,,,
10 Dec 12,70022,27613,42409,29910,9623,2553,119,204,,,,,,,,,884,1099,1.2432126697,,,,,,,,,,
16 Dec 12,71761,28386,43375,30710,9760,2579,119,207,,,,,,,,,773,966,1.2496765847,,,ons v1.7.1216,,,,,,,
22 Dec 12,73187,28983,44204,31396,9867,2609,119,213,,,,,,,,,597,829,1.3886097152,,,,,,,,,,
23 Dec 12,73299,29029,44270,31444,9880,2614,119,213,,,,,,,,,46,66,1.4347826087,,,,,,,,,,
24 Dec 12,73467,29102,44365,31527,9889,2616,119,214,,,,,,,,,73,95,1.301369863,,,,,,,,,,
27 Dec 12,73863,29267,44596,31719,9924,2620,119,214,,,,,,,,,165,231,1.4,,,,,,,,,,
30 Dec 12,74449,29515,44934,31984,9985,2631,119,215,,,,,,,,,248,338,1.3629032258,,,,,,,,,,
31 Dec 12,74739,29639,45100,32112,10008,2644,121,215,,,,,,,,,124,166,1.3387096774,,,,,,,,,,
1 Jan 13,74867,29696,45171,32164,10020,2651,121,215,,,,,,,,,57,71,1.2456140351,,,,,,,,,,
2 Jan 13,75070,29781,45289,32246,10045,2661,122,215,,,,,,,,,85,118,1.3882352941,,,,,,,,,,
4 Jan 13,75596,30005,45591,32491,10085,2677,123,215,,,,,,,,,224,302,1.3482142857,,,,,,,,,,
5 Jan 13,75784,30084,45700,32574,10107,2681,123,215,,,,,,,,,79,109,1.3797468354,,,,,,,,,,
6 Jan 13,75931,30149,45782,32642,10119,2683,123,215,,,,,,,,,65,82,1.2615384615,,,,,,,,,,
10 Jan 13,77010,30598,46412,33159,10214,2696,123,220,,,,,,,,,449,630,1.4031180401,,,,,,,,,,
15 Jan 13,78311,31153,47158,33756,10331,2723,124,224,,,,,,,,,555,746,1.3441441441,,,,,,,,,,
20 Jan 13,79684,31718,47966,34429,10429,2745,130,233,,,,,,,,,565,808,1.4300884956,,,,,,,,,,
21 Jan 13,79899,31805,48094,34530,10446,2751,132,235,,,,,,,,,87,128,1.4712643678,,,,,,,,,,
24 Jan 13,80881,32193,48688,35014,10528,2775,134,237,,,,,,,,,388,594,1.5309278351,,,,,,,,,,
5 Feb 13,84448,33656,50792,36753,10808,2847,138,246,,,,,,,,,1463,2104,1.4381408066,,,,,,,,,,
19 Feb 13,88534,35295,53239,38800,11129,2911,142,257,,,,,,,,,1639,2447,1.4929835265,,,,,,,,,,
21 Feb 13,89042,35501,53541,39051,11168,2919,144,259,,,,,,,,,206,302,1.4660194175,,ons v1.8,,,,,,,,
22 Feb 13,89502,35656,53846,39331,11191,2920,144,260,,,,,,,,,155,305,1.9677419355,,,,,,,,,,
28 Feb 13,91348,36337,55011,40353,11300,2951,144,263,,,,,,,,,681,1165,1.7107195301,,,,,,,,,,
3 Mar 13,91908,36544,55364,40646,11350,2957,144,267,,,,,,,,,207,353,1.7053140097,,,,,,,,,,
4 Mar 13,92201,36649,55552,40814,11363,2962,144,269,,,,,,,,,105,188,1.7904761905,,,,,,,,,,
5 Mar 13,92307,36686,55621,40873,11372,2962,144,270,,,,,,,,,37,69,1.8648648649,,,,,,,,,,
6 Mar 13,92534,36769,55765,40995,11391,2964,144,271,,,,,,,,,83,144,1.734939759,,,,,,,,,,
18 Mar 13,95578,37938,57640,42583,11609,3018,152,278,,,,,,,,,1169,1875,1.6039349872,,,,,,,,,,
21 Mar 13,96604,38355,58249,43086,11690,3038,155,280,,,,,,,,,417,609,1.4604316547,,,,,,,,,,
23 Mar 13,97063,38532,58531,43317,11729,3050,155,280,,,,,,,,,177,282,1.593220339,,,,,,,,,,
26 Mar 13,97696,38781,58915,43629,11778,3066,156,286,,,,,,,,,249,384,1.5421686747,,,,,,,,,,
28 Mar 13,98199,38972,59227,43867,11831,3080,157,292,,,,,,,,,191,312,1.6335078534,,,,,,,,,,
29 Mar 13,98423,39054,59369,43978,11854,3087,157,293,,,,,,,,,82,142,1.7317073171,,,,,,,,,,
2 Apr 13,99025,39284,59741,44279,11904,3102,158,298,,,,,,,,,230,372,1.6173913043,,,,,,,,,,
4 Apr 13,99532,39486,60046,44538,11941,3111,158,298,,,,,,,,,202,305,1.5099009901,,,,,,,,,,
10 Apr 13,100706,39952,60754,45110,12034,3148,159,303,,,,,,,,,466,708,1.5193133047,,,,,,,,,,
16 Apr 13,101962,40431,61531,45746,12130,3183,164,308,,,,,,,,,479,777,1.6221294363,,,,,,,,,,
21 Apr 13,103102,40883,62219,46306,12218,3220,165,310,,,,,,,,,452,688,1.5221238938,,,,,,,,,,
22 Apr 13,103203,40921,62282,46352,12233,3222,165,310,,,,,,,,,38,63,1.6578947368,,,,,,,,,,
30 Apr 13,104830,41556,63274,47142,12371,3271,172,318,,,,,,,,,635,992,1.5622047244,,,,,,,,,,
31 May 13,110503,43777,66726,49847,12929,3423,178,349,,,,,,,,,2221,3452,1.5542548402,,,,,,,,,,
10 Jun 13,111862,44296,67566,50448,13115,3468,181,354,,,,,,,,,519,840,1.6184971098,,,,,,,,,,
18 Jun 13,113111,44791,68320,51007,13261,3512,183,357,,,,,,,,,495,754,1.5232323232,,oik v2.0,,,,,,,,
19 Jun 13,113539,45094,68445,51099,13287,3517,184,358,,,,,,,,,303,125,0.4125412541,,,,,,,,,,
20 Jun 13,113723,45208,68515,51155,13299,3518,184,359,,,,,,,,,114,70,0.6140350877,,,,,,,,,,
23 Jun 13,114385,45624,68761,51347,13342,3528,184,360,,,,,,,,,416,246,0.5913461538,,,,,,,,,,
27 Jun 13,115416,46161,69255,51730,13427,3550,185,363,,,,,,,,,537,494,0.9199255121,,,,,,,,,,
1 Jul 13,116143,46513,69630,52002,13505,3569,187,367,,,,,,,,,352,375,1.0653409091,,oik v2.1-alpha-0701,,,,,,,,
4 Jul 13,116718,46800,69918,52216,13563,3582,188,369,,,,,,,,,287,288,1.0034843206,,,,,,,,,,
7 Jul 13,117173,47011,70162,52386,13621,3594,189,372,,,,,,,,,211,244,1.1563981043,,,,,,,,,,
19 Jul 13,119158,47976,71182,53181,13817,3594,191,380,19,,,,,,,,965,1020,1.0569948187,,"oik css v0.2 – on wp.org, cookie-cat under review, oik v2.1-alpha.0718",,,,,,,,
31 Jul 13,121392,48953,72439,54218,13997,3626,193,383,22,,,,,,,,977,1257,1.286591607,,Cookie-cat under review,,,,,,,,
2 Aug 13,121865,49145,72720,54458,14032,3626,194,386,24,,,,,,,,192,281,1.4635416667,,WP 3.6 – oik v2.1-alpha.0802,,,,,,,,
7 Aug 13,122813,49565,73248,54906,14109,3626,195,387,25,,,,,,,,420,528,1.2571428571,,,,,,,,,,
20 Aug 13,124364,50255,74109,55551,14308,3626,200,391,33,,,,,,,,690,861,1.247826087,,,,,,,,,,
22 Aug 13,124633,50349,74284,55695,14338,3626,200,391,34,,,,,,,,94,175,1.8617021277,,oik v2.1-alpha.0822,,,,,,,,
27 Aug 13,125233,50587,74646,55973,14416,3630,200,392,35,,,,,,,,238,362,1.5210084034,,Cookie-cat back live,,,,,,,,
3 Sep 13,126190,51005,75185,56379,14527,3644,201,395,39,,,,,,,,418,539,1.2894736842,,Cookie-cat v1.2,,,,,,,,
5 Sep 13,126588,51134,75454,56494,14571,3753,201,396,39,,,,,,,,129,269,2.0852713178,,,,,,,,,,
10 Sep 13,127358,51429,75929,56734,14666,3882,204,401,42,,,,,,,,295,475,1.6101694915,,,,,,,,,,
11 Sep 13,127487,51480,76007,56780,14688,3891,204,401,43,,,,,,,,51,78,1.5294117647,,,,,,,,,,
16 Sep 13,128151,51726,76425,57003,14767,3995,206,405,49,,,,,,,,246,418,1.6991869919,,,,,,,,,,
17 Sep 13,128274,51774,76500,57046,14780,4013,206,405,50,,,,,,,,48,75,1.5625,,,,,,,,,,
21 Sep 13,128841,51987,76854,57244,14863,4068,206,406,51,16,,,,,,,213,354,1.661971831,,O-n-s v1.9,Oik 2.0.1,Oik-batchmove,,,,,,
27 Sep 13,131125,53112,78013,58213,14944,4143,206,409,54,44,,,,,,,1125,1159,1.0302222222,,,,,,,,,,
2 Oct 13,132350,53671,78679,58761,15003,4191,206,410,59,49,,,,,,,559,666,1.1914132379,,,,,,,,,,
3 Oct 13,132584,53780,78804,58851,15018,4207,206,410,62,50,,,,,,,109,125,1.1467889908,,,,,,,,,,
7 Oct 13,133248,54066,79182,59117,15081,4244,207,413,66,54,,,,,,,286,378,1.3216783217,,,,,,,,,,
9 Oct 13,133748,54294,79454,59323,15103,4283,209,414,66,56,,,,,,,228,272,1.1929824561,,Oik-privacy-policy v1.1,,Uk-tides v1.1,,,,,,
10 Oct 13,134071,54395,79676,59420,15215,4290,209,420,66,56,,,,,,,101,222,2.198019802,,,,,,,,,,
15 Oct 13,135485,54914,80571,59943,15496,4344,212,440,72,64,,,,,,,519,895,1.7244701349,,,,,,,,,,
17 Oct 13,135867,55067,80800,60066,15569,4366,213,446,76,64,,,,,,,153,229,1.4967320261,,,,,,,,,,
27 Oct 13,137678,55765,81913,60710,15888,4460,220,466,92,77,,,,,,,698,1113,1.5945558739,,,,,,,,,,
28 Oct 13,137888,55849,82039,60777,15921,4478,221,471,93,78,,,,,,,84,126,1.5,Oik-todo v0.1 created but not published!,,,,,,,,,
7 Nov 13,139429,56475,82954,61350,16151,4562,225,481,97,88,,,,,,,626,915,1.4616613419,,,,,,,,,,
13 Nov 13,140304,56828,83476,61634,16317,4604,230,492,104,95,,,,,,,353,522,1.4787535411,,,,,,,,,,
27 Nov 13,142599,57733,84866,62485,16715,4708,236,509,110,103,,,,,,,905,1390,1.5359116022,,,,,,,,,,
4 Dec 13,143592,58121,85471,62846,16883,4764,241,514,114,109,,,,,,,388,605,1.5592783505,,,,,,,,,,
19 Dec 13,146051,59094,86957,63738,17316,4883,245,531,122,122,,,,,,,973,1486,1.5272353546,Oik-batchmove 2.0-alpha.1218,,,,,,,,,
4 Jan 14,147776,59788,87988,64311,17633,4994,247,543,129,131,,,,,,,694,1031,1.4855907781,Oik-css v0.4 ,Oik-fields v1.20,oik v2.1-beta.0102,,,,,,,
6 Jan 14,148008,59865,88143,64378,17679,5010,247,559,137,133,,,,,,,77,155,2.012987013,Oik-privacy-policy v1.2,oik v2.1-beta.0106,,,,,,,,
7 Jan 14,148152,59932,88220,64410,17713,5012,247,564,140,134,,,,,,,67,77,1.1492537313,oik-batchmove 2.0-beta.0107,,,,,,,,,
8 Jan 14,148328,60004,88324,64472,17744,5019,247,566,140,136,,,,,,,72,104,1.4444444444,,,,,,,,,,
13 Jan 14,148945,60244,88701,64674,17861,5055,247,578,148,138,,,,,,,240,377,1.5708333333,,,,,,,,,,
20 Jan 14,149793,60589,89204,64943,18009,5115,247,593,158,139,,,,,,,345,503,1.4579710145,,,,,,,,,,
23 Jan 14,150174,60736,89438,65066,18081,5146,247,598,160,140,,,,,,,147,234,1.5918367347,,,,,,,,,,
26 Jan 14,150600,60914,89686,65181,18159,5176,250,609,166,145,,,,,,,178,248,1.393258427,,,,,,,,,,
29 Jan 14,150960,61058,89902,65300,18213,5205,251,615,170,148,,,,,,,144,216,1.5,oik v2.1,Oik-fields v1.32,Oik-batchmove v2.0,O-n-s v1.10,,,,,,
30 Jan 14,151580,61468,90112,65458,18244,5218,251,617,171,153,,,,,,,410,210,0.512195122,,,,,,,,,,
31 Jan 14,152075,61740,90335,65627,18267,5224,252,633,174,158,,,,,,,272,223,0.8198529412,,,,,,,,,,
3 Feb 14,152786,62116,90670,65861,18330,5242,253,642,177,165,,,,,,,376,335,0.8909574468,,,,,,,,,,
4 Feb 14,153016,62229,90787,65942,18348,5250,253,648,179,167,,,,,,,113,117,1.0353982301,,,,,,,,,,
5 Feb 14,153397,62421,90976,66069,18388,5259,255,653,183,169,,,,,,,192,189,0.984375,O-n-s v1.11,,,,,,,,,
8 Feb 14,154113,62711,91402,66402,18454,5276,256,657,186,171,,,,,,,290,426,1.4689655172,oik v2.2-alpha.0228,,,,,,,,,
11 Feb 14,154806,63023,91783,66695,18508,5297,257,660,189,177,,,,,,,312,381,1.2211538462,,,,,,,,,,
18 Feb 14,156240,63660,92580,67255,18647,5365,259,677,194,183,,,,,,,637,797,1.251177394,O-n-s v1.12,,,,,,,,,
19 Feb 14,156391,63709,92682,67336,18663,5366,259,677,197,184,,,,,,,49,102,2.0816326531,,,,,,,,,,
20 Feb 14,156901,63892,93009,67601,18705,5383,260,679,197,184,,,,,,,183,327,1.7868852459,oik-batchmove 2.0-alpha.1221,,,,,,,,,
22 Feb 14,156992,63928,93064,67640,18720,5383,260,679,198,184,,,,,,,36,55,1.5277777778,O-n-s v1.13,,,,,,,,,
24 Feb 14,157481,64084,93397,67903,18757,5407,262,682,201,185,,,,,,,156,333,2.1346153846,,,,,,,,,,
27 Feb 14,158046,64304,93742,68141,18823,5435,263,691,203,186,,,,,,,220,345,1.5681818182,Oik-dates v0.1 , ,,,,,,,,
28 Feb 14,158120,64338,93782,68168,18831,5437,263,694,203,186,,,,,,,34,40,1.1764705882,Oik-todo v0.2 ,,,,,,,,,
10 Mar 14,159568,64925,94643,68729,19009,5522,265,706,216,196,,,,,,,587,861,1.4667802385,,,,,,,,,,
11 Mar 14,159690,64975,94715,68777,19029,5524,265,708,216,196,,,,,,,50,72,1.44,,,,,,,,,,
21 Mar 14,161098,65573,95525,69295,19230,5576,268,718,225,213,,,,,,,598,810,1.3545150502,,,,,,,,,,
22 Mar 14,161186,65612,95574,69324,19239,5583,268,720,225,215,,,,,,,39,49,1.2564102564,,,,,,,,,,
26 Mar 14,161624,65798,95826,69477,19305,5600,268,728,227,221,,,,,,,186,252,1.3548387097,oik v2.2-alpha.0326,,,,,,,,,
27 Mar 14,161752,65854,95898,69521,19324,5606,270,728,227,222,,,,,,,56,72,1.2857142857,Oik-read-more on o-p.co.uk,,,,,,,,,
29 Mar 14,161919,65921,95998,69576,19346,5614,272,731,228,223,4,4,,,,,67,100,1.4925373134,Oik-weightcountry-shipping v1.0.3,Oik-read-more v0.1,,,,,,,,
30 Mar 14,162074,65966,96108,69601,19366,5620,272,733,228,225,11,52,,,,,45,110,2.4444444444,,,,,,,,,,
3 Apr 14,162836,66209,96627,69800,19459,5650,274,737,232,232,25,218,,,,,243,519,2.1358024691,oik v2.2-alpha.0403,Oik-bob-bing-wide v1.21,,,,,,,,
4 Apr 14,162916,66236,96680,69822,19465,5653,274,738,237,232,28,231,,,,,27,53,1.962962963,Oik-css v0.5,Cookie-cat v1.3,,,,,,,,
9 Apr 14,163926,66511,97415,70022,19557,5922,275,747,249,238,42,363,,,,,275,735,2.6727272727,,,,,,,,,,
12 Apr 14,164665,66740,97925,70183,19616,6055,279,758,261,246,50,477,,,,,229,510,2.2270742358,oik-weightcountry-shipping v1.0.5,oik v2.2-beta.0412,,,,,,,,
13 Apr 14,164795,66767,98028,70209,19622,6069,279,759,262,246,54,528,,,,,27,103,3.8148148148,Oik-batchmove 2.1,,,,,,,,,
17 Apr 14,165595,67008,98587,70342,19694,6157,281,764,273,257,62,757,,,,,241,559,2.3195020747,oik v2.2 ,all others set for WP 3.9 compatibility,,,,,,,,
18 Apr 14,165807,67166,98641,70358,19696,6170,283,767,275,259,64,769,,,,,158,54,0.3417721519,,,,,,,,,,
20 Apr 14,166642,67711,98931,70470,19732,6195,294,780,281,267,74,838,,,,,545,290,0.5321100917,,,,,,,,,,
2 May 14,169103,68941,100162,70853,19937,6409,309,801,297,283,110,1163,,,,,1230,1231,1.0008130081,,,,,,,,,,
6 May 14,169886,69260,100626,71038,20011,6482,313,809,300,287,120,1266,,,,,319,464,1.4545454545,Oik-shortcodes v1.11,Oik-plugins v1.10,oik v2.3-alpha.0506,Oik-batch v0.2,,,,,,
11 May 14,170682,69606,101076,71186,20101,6553,316,814,304,292,131,1379,,,,,346,450,1.3005780347,Oik-shortcodes v1.14,oik v2.3-alpha.0511,Oik-fields v1.36,Oik-types v1.4,Oik-sc-help v1.19,,,,,
16 Jun 14,175422,71455,103967,72123,20653,6921,347,855,353,335,215,2165,,,,,1849,2891,1.5635478637,Oik-shortcodes v1.19,oik-bob-bing-wide v1.23,,,,,,,,
1 Jul 14,177107,72041,105066,72500,20843,7038,351,871,361,350,244,2508,,,,,586,1099,1.8754266212,Oik-rwd v0.3,et al,,,,,,,,
23 Jul 14,179418,72865,106553,72931,21166,7209,367,888,379,370,290,2953,,,,,824,1487,1.8046116505,,,,,,,,,,
28 Jul 14,179865,73039,106826,73006,21234,7248,367,890,380,373,304,3024,,,,,174,273,1.5689655172,,,,,,,,,,
6 Aug 14,180862,73385,107477,73180,21393,7330,371,899,388,387,332,3197,,,,,346,651,1.8815028902,Oik-fields v1.38,Oik-rwd 0.5,,,,,,,,
8 Sep 14,184099,74560,109539,73752,21876,7574,392,931,411,422,445,3736,,,,,1175,2062,1.754893617,Oik-css v0.6,bbboing v1.7,Cookie-cat v1.4,,WordPress 4.0,,,,,
9 Sep 14,184187,74590,109597,73781,21884,7580,394,932,411,422,447,3746,,,,,30,58,1.9333333333,Cookie-cat v1.4,,,,,,,,,
13 Sep 14,184957,74764,110193,73886,21945,7878,398,954,420,432,452,3828,,,,,174,596,3.4252873563,Uk-tides v1.4,Oik-privacy-policy v1.3,Oik-batchmove v2.2,Oik-read-more v0.2,,,,,,
14 Sep 14,185190,74794,110396,73896,22091,7902,399,956,421,435,460,3836,,,,,30,203,6.7666666667,,,,,,,,,,
21 Sep 14,186485,75088,111397,74061,22544,8103,404,968,426,469,483,3939,,,,,294,1001,3.4047619048,Oik-batchmove v2.3,,,,,,,,,
22 Sep 14,186602,75118,111484,74075,22578,8123,404,968,427,472,488,3949,,,,,30,87,2.9,oik-weightcountry-shipping v1.0.7,,,,,,,,,
23 Sep 14,187130,75206,111924,74108,22653,8174,405,971,429,480,501,4203,,,,,88,440,5,oik v2.3,,,,,,,,,
25 Sep 14,188033,75775,112258,74141,22749,8224,408,975,432,487,513,4329,,,,,569,334,0.5869947276,,,,,,,,,,
26 Sep 14,188391,75968,112423,74164,22802,8246,408,976,433,492,524,4378,,,,,193,165,0.8549222798,,,,,,,,,,
29 Sep 14,189059,76306,112753,74204,22886,8293,411,980,434,502,535,4508,,,,,338,330,0.9763313609,,,,,,,,,,
7 Oct 14,191080,77223,113857,74380,23181,8479,417,997,438,526,582,4857,,,,,917,1104,1.2039258451,,,,,,,,,,
9 Oct 14,191587,77430,114157,74423,23270,8520,418,1006,440,529,597,4954,,,,,207,300,1.4492753623,Oik-bob-bing-wide v11.26,,,,,,,,,
12 Oct 14,192110,77659,114451,74481,23357,8565,419,1009,443,538,605,5034,,,,,229,294,1.2838427948,Oik-css v0.7,oik-bob-bing-wide v1.27,Oik-plugins v1.13,,,,,,,
23 Oct 14,194195,78496,115699,74700,23700,8738,432,1019,451,561,687,5411,,,,,837,1248,1.4910394265,,,,,,,,,,
24 Oct 14,194416,78584,115832,74721,23737,8764,432,1021,452,562,691,5452,,,,,88,133,1.5113636364,,,,,,,,,,
27 Oct 14,194784,78719,116065,74765,23798,8792,434,1025,455,566,702,5528,,,,,135,233,1.7259259259,,,,,,,,,,
28 Oct 14,194965,78792,116173,74784,23826,8807,434,1027,457,567,705,5566,,,,,73,108,1.4794520548,,,,,,,,,,
30 Oct 14,195390,78960,116430,74817,23890,8846,434,1032,457,571,722,5661,,,,,168,257,1.5297619048,,,,,,,,,,
9 Nov 14,197011,79587,117424,74989,24154,8979,443,1047,465,596,781,5970,,,,,627,994,1.5853269537,,,,,,,,,,
