Date,Total,Real?,oik,oik-nivo-slider,oik-privacy-policy,cookie-cat,bbboing,uk-tides,oik-css,oik-batchmove,oik-read-more,oik-weightcountry-shipping,oik-bwtrace,allow-reinstalls,oik-weight-zone-shipping,sb-children-block,sb-chart-block
2012-05-22,11337,real,4162,6326,622,102,59,66,,,,,,,,,
2012-05-27,13425,real,4875,7050,1018,348,61,73,,,,,,,,,
2012-05-28,13904,real,5049,7188,1112,420,61,74,,,,,,,,,
2012-05-29,14544,real,5270,7422,1229,486,62,75,,,,,,,,,
2012-05-30,15008,real,5437,7609,1301,524,62,75,,,,,,,,,
2012-06-01,15694,real,5670,7886,1403,596,62,77,,,,,,,,,
2012-06-03,16166,real,5833,8081,1490,621,63,78,,,,,,,,,
2012-06-05,16992,real,6127,8424,1626,670,63,82,,,,,,,,,
2012-06-07,17756,real,6382,8729,1764,732,64,85,,,,,,,,,
2012-06-09,18400,real,6612,8980,1872,784,66,86,,,,,,,,,
2012-06-11,19075,real,6823,9209,1984,905,67,87,,,,,,,,,
2012-06-12,19471,real,6947,9365,2042,959,68,90,,,,,,,,,
2012-06-13,19897,real,7079,9543,2115,1000,68,92,,,,,,,,,
2012-06-14,20151,real,7156,9664,2142,1024,69,96,,,,,,,,,
2012-06-16,20942,real,7425,9996,2259,1094,70,98,,,,,,,,,
2012-06-17,21113,real,7487,10057,2297,1103,71,98,,,,,,,,,
2012-07-02,26110,real,9151,12214,3171,1389,76,109,,,,,,,,,
2012-07-03,26486,real,9339,12373,3193,1395,77,109,,,,,,,,,
2012-07-04,27186,real,9685,12639,3264,1411,77,110,,,,,,,,,
2012-07-05,27729,real,9942,12847,3328,1425,77,110,,,,,,,,,
2012-07-06,28118,real,10165,12955,3374,1433,79,112,,,,,,,,,
2012-07-09,29010,real,10598,13249,3519,1451,80,113,,,,,,,,,
2012-07-11,30204,real,11086,13789,3650,1486,80,113,,,,,,,,,
2012-07-12,30634,real,11267,13957,3720,1497,80,113,,,,,,,,,
2012-07-19,33196,real,12315,14928,4147,1605,81,120,,,,,,,,,
2012-07-20,33637,real,12497,15104,4213,1620,82,121,,,,,,,,,
2012-07-26,35580,real,13270,15871,4563,1672,82,122,,,,,,,,,
2012-07-29,36379,real,13576,16188,4716,1692,83,124,,,,,,,,,
2012-07-30,36550,real,13646,16257,4746,1694,83,124,,,,,,,,,
2012-08-05,38349,real,14355,16944,5075,1757,87,131,,,,,,,,,
2012-08-07,38988,real,14605,17192,5189,1780,88,134,,,,,,,,,
2012-08-09,39784,real,15077,17385,5290,1807,89,136,,,,,,,,,
2012-08-10,40057,real,15216,17477,5326,1812,90,136,,,,,,,,,
2012-08-14,41332,real,15829,17891,5536,1846,91,139,,,,,,,,,
2012-08-20,42956,real,16549,18458,5831,1886,91,141,,,,,,,,,
2012-08-21,43429,real,16702,18701,5897,1897,91,141,,,,,,,,,
2012-08-24,44452,real,17074,19184,6036,1917,94,147,,,,,,,,,
2012-08-28,45581,real,17531,19647,6201,1957,96,149,,,,,,,,,
2012-08-30,46232,real,17780,19939,6292,1974,97,150,,,,,,,,,
2012-09-03,47276,real,18185,20360,6472,2010,98,151,,,,,,,,,
2012-09-06,48356,real,18594,20816,6654,2043,98,151,,,,,,,,,
2012-09-08,48948,real,18829,21065,6743,2061,99,151,,,,,,,,,
2012-09-09,49102,real,18881,21132,6773,2065,99,152,,,,,,,,,
2012-09-11,49734,real,19151,21377,6869,2085,99,153,,,,,,,,,
2012-09-12,50033,real,19272,21500,6918,2091,99,153,,,,,,,,,
2012-09-24,53273,real,20544,22842,7462,2168,100,157,,,,,,,,,
2012-09-27,54016,real,20831,23159,7566,2201,100,159,,,,,,,,,
2012-10-01,54903,real,21184,23536,7702,2219,100,162,,,,,,,,,
2012-10-02,55141,real,21279,23642,7733,2224,100,163,,,,,,,,,
2012-10-23,59296,real,22946,25404,8326,2342,103,175,,,,,,,,,
2012-10-30,60595,real,23465,25957,8525,2364,105,179,,,,,,,,,
2012-11-19,64225,real,24937,27403,9114,2467,112,192,,,,,,,,,
2012-11-20,64373,real,24994,27468,9136,2470,112,193,,,,,,,,,
2012-11-26,65362,real,25363,27902,9288,2497,115,197,,,,,,,,,
2012-11-27,65564,real,25440,27995,9310,2505,115,199,,,,,,,,,
2012-11-28,66076,real,25805,28092,9350,2515,115,199,,,,,,,,,
2012-11-29,66295,real,25946,28157,9360,2517,115,200,,,,,,,,,
2012-11-30,66850,real,26193,28430,9391,2521,115,200,,,,,,,,,
2012-12-01,67083,real,26295,28528,9423,2521,116,200,,,,,,,,,
2012-12-04,68039,real,26729,28970,9484,2537,117,202,,,,,,,,,
2012-12-10,70022,real,27613,29910,9623,2553,119,204,,,,,,,,,
2012-12-16,71761,real,28386,30710,9760,2579,119,207,,,,,,,,,
2012-12-22,73187,real,28983,31396,9867,2609,119,213,,,,,,,,,
2012-12-23,73299,real,29029,31444,9880,2614,119,213,,,,,,,,,
2012-12-24,73467,real,29102,31527,9889,2616,119,214,,,,,,,,,
2012-12-27,73863,real,29267,31719,9924,2620,119,214,,,,,,,,,
2012-12-30,74449,real,29515,31984,9985,2631,119,215,,,,,,,,,
2012-12-31,74739,real,29639,32112,10008,2644,121,215,,,,,,,,,
2013-01-01,74867,real,29696,32164,10020,2651,121,215,,,,,,,,,
2013-01-02,75070,real,29781,32246,10045,2661,122,215,,,,,,,,,
2013-01-04,75596,real,30005,32491,10085,2677,123,215,,,,,,,,,
2013-01-05,75784,real,30084,32574,10107,2681,123,215,,,,,,,,,
2013-01-06,75931,real,30149,32642,10119,2683,123,215,,,,,,,,,
2013-01-10,77010,real,30598,33159,10214,2696,123,220,,,,,,,,,
2013-01-15,78311,real,31153,33756,10331,2723,124,224,,,,,,,,,
2013-01-20,79684,real,31718,34429,10429,2745,130,233,,,,,,,,,
2013-01-21,79899,real,31805,34530,10446,2751,132,235,,,,,,,,,
2013-01-24,80881,real,32193,35014,10528,2775,134,237,,,,,,,,,
2013-02-05,84448,real,33656,36753,10808,2847,138,246,,,,,,,,,
2013-02-19,88534,real,35295,38800,11129,2911,142,257,,,,,,,,,
2013-02-21,89042,real,35501,39051,11168,2919,144,259,,,,,,,,,
2013-02-22,89502,real,35656,39331,11191,2920,144,260,,,,,,,,,
2013-02-28,91348,real,36337,40353,11300,2951,144,263,,,,,,,,,
2013-03-03,91908,real,36544,40646,11350,2957,144,267,,,,,,,,,
2013-03-04,92201,real,36649,40814,11363,2962,144,269,,,,,,,,,
2013-03-05,92307,real,36686,40873,11372,2962,144,270,,,,,,,,,
2013-03-06,92534,real,36769,40995,11391,2964,144,271,,,,,,,,,
2013-03-18,95578,real,37938,42583,11609,3018,152,278,,,,,,,,,
2013-03-21,96604,real,38355,43086,11690,3038,155,280,,,,,,,,,
2013-03-23,97063,real,38532,43317,11729,3050,155,280,,,,,,,,,
2013-03-26,97696,real,38781,43629,11778,3066,156,286,,,,,,,,,
2013-03-28,98199,real,38972,43867,11831,3080,157,292,,,,,,,,,
2013-03-29,98423,real,39054,43978,11854,3087,157,293,,,,,,,,,
2013-04-02,99025,real,39284,44279,11904,3102,158,298,,,,,,,,,
2013-04-04,99532,real,39486,44538,11941,3111,158,298,,,,,,,,,
2013-04-10,100706,real,39952,45110,12034,3148,159,303,,,,,,,,,
2013-04-16,101962,real,40431,45746,12130,3183,164,308,,,,,,,,,
2013-04-21,103102,real,40883,46306,12218,3220,165,310,,,,,,,,,
2013-04-22,103203,real,40921,46352,12233,3222,165,310,,,,,,,,,
2013-04-30,104830,real,41556,47142,12371,3271,172,318,,,,,,,,,
2013-05-31,110503,real,43777,49847,12929,3423,178,349,,,,,,,,,
2013-06-10,111862,real,44296,50448,13115,3468,181,354,,,,,,,,,
2013-06-18,113111,real,44791,51007,13261,3512,183,357,,,,,,,,,
2013-06-19,113539,real,45094,51099,13287,3517,184,358,,,,,,,,,
2013-06-20,113723,real,45208,51155,13299,3518,184,359,,,,,,,,,
2013-06-23,114385,real,45624,51347,13342,3528,184,360,,,,,,,,,
2013-06-27,115416,real,46161,51730,13427,3550,185,363,,,,,,,,,
2013-07-01,116143,real,46513,52002,13505,3569,187,367,,,,,,,,,
2013-07-04,116718,real,46800,52216,13563,3582,188,369,,,,,,,,,
2013-07-07,117173,real,47011,52386,13621,3594,189,372,,,,,,,,,
2013-07-19,119158,real,47976,53181,13817,3594,191,380,19,,,,,,,,
2013-07-31,121392,real,48953,54218,13997,3626,193,383,22,,,,,,,,
2013-08-02,121865,real,49145,54458,14032,3626,194,386,24,,,,,,,,
2013-08-07,122813,real,49565,54906,14109,3626,195,387,25,,,,,,,,
2013-08-20,124364,real,50255,55551,14308,3626,200,391,33,,,,,,,,
2013-08-22,124633,real,50349,55695,14338,3626,200,391,34,,,,,,,,
2013-08-27,125233,real,50587,55973,14416,3630,200,392,35,,,,,,,,
2013-09-03,126190,real,51005,56379,14527,3644,201,395,39,,,,,,,,
2013-09-05,126588,real,51134,56494,14571,3753,201,396,39,,,,,,,,
2013-09-10,127358,real,51429,56734,14666,3882,204,401,42,,,,,,,,
2013-09-11,127487,real,51480,56780,14688,3891,204,401,43,,,,,,,,
2013-09-16,128151,real,51726,57003,14767,3995,206,405,49,,,,,,,,
2013-09-17,128274,real,51774,57046,14780,4013,206,405,50,,,,,,,,
2013-09-21,128841,real,51987,57244,14863,4068,206,406,51,16,,,,,,,
2013-09-27,131125,real,53112,58213,14944,4143,206,409,54,44,,,,,,,
2013-10-02,132350,real,53671,58761,15003,4191,206,410,59,49,,,,,,,
2013-10-03,132584,real,53780,58851,15018,4207,206,410,62,50,,,,,,,
2013-10-07,133248,real,54066,59117,15081,4244,207,413,66,54,,,,,,,
2013-10-09,133748,real,54294,59323,15103,4283,209,414,66,56,,,,,,,
2013-10-10,134071,real,54395,59420,15215,4290,209,420,66,56,,,,,,,
2013-10-15,135485,real,54914,59943,15496,4344,212,440,72,64,,,,,,,
2013-10-17,135867,real,55067,60066,15569,4366,213,446,76,64,,,,,,,
2013-10-27,137678,real,55765,60710,15888,4460,220,466,92,77,,,,,,,
2013-10-28,137888,real,55849,60777,15921,4478,221,471,93,78,,,,,,,
2013-11-07,139429,real,56475,61350,16151,4562,225,481,97,88,,,,,,,
2013-11-13,140304,real,56828,61634,16317,4604,230,492,104,95,,,,,,,
2013-11-27,142599,real,57733,62485,16715,4708,236,509,110,103,,,,,,,
2013-12-04,143592,real,58121,62846,16883,4764,241,514,114,109,,,,,,,
2013-12-19,146051,real,59094,63738,17316,4883,245,531,122,122,,,,,,,
2014-01-04,147776,real,59788,64311,17633,4994,247,543,129,131,,,,,,,
2014-01-06,148008,real,59865,64378,17679,5010,247,559,137,133,,,,,,,
2014-01-07,148152,real,59932,64410,17713,5012,247,564,140,134,,,,,,,
2014-01-08,148328,real,60004,64472,17744,5019,247,566,140,136,,,,,,,
2014-01-13,148945,real,60244,64674,17861,5055,247,578,148,138,,,,,,,
2014-01-20,149793,real,60589,64943,18009,5115,247,593,158,139,,,,,,,
2014-01-23,150174,real,60736,65066,18081,5146,247,598,160,140,,,,,,,
2014-01-26,150600,real,60914,65181,18159,5176,250,609,166,145,,,,,,,
2014-01-29,150960,real,61058,65300,18213,5205,251,615,170,148,,,,,,,
2014-01-30,151580,real,61468,65458,18244,5218,251,617,171,153,,,,,,,
2014-01-31,152075,real,61740,65627,18267,5224,252,633,174,158,,,,,,,
2014-02-03,152786,real,62116,65861,18330,5242,253,642,177,165,,,,,,,
2014-02-04,153016,real,62229,65942,18348,5250,253,648,179,167,,,,,,,
2014-02-05,153397,real,62421,66069,18388,5259,255,653,183,169,,,,,,,
2014-02-08,154113,real,62711,66402,18454,5276,256,657,186,171,,,,,,,
2014-02-11,154806,real,63023,66695,18508,5297,257,660,189,177,,,,,,,
2014-02-18,156240,real,63660,67255,18647,5365,259,677,194,183,,,,,,,
2014-02-19,156391,real,63709,67336,18663,5366,259,677,197,184,,,,,,,
2014-02-20,156901,real,63892,67601,18705,5383,260,679,197,184,,,,,,,
2014-02-22,156992,real,63928,67640,18720,5383,260,679,198,184,,,,,,,
2014-02-24,157481,real,64084,67903,18757,5407,262,682,201,185,,,,,,,
2014-02-27,158046,real,64304,68141,18823,5435,263,691,203,186,,,,,,,
2014-02-28,158120,real,64338,68168,18831,5437,263,694,203,186,,,,,,,
2014-03-10,159568,real,64925,68729,19009,5522,265,706,216,196,,,,,,,
2014-03-11,159690,real,64975,68777,19029,5524,265,708,216,196,,,,,,,
2014-03-21,161098,real,65573,69295,19230,5576,268,718,225,213,,,,,,,
2014-03-22,161186,real,65612,69324,19239,5583,268,720,225,215,,,,,,,
2014-03-26,161624,real,65798,69477,19305,5600,268,728,227,221,,,,,,,
2014-03-27,161752,real,65854,69521,19324,5606,270,728,227,222,,,,,,,
2014-03-29,161919,real,65921,69576,19346,5614,272,731,228,223,4,4,,,,,
2014-03-30,162074,real,65966,69601,19366,5620,272,733,228,225,11,52,,,,,
2014-04-03,162836,real,66209,69800,19459,5650,274,737,232,232,25,218,,,,,
2014-04-04,162916,real,66236,69822,19465,5653,274,738,237,232,28,231,,,,,
2014-04-09,163926,real,66511,70022,19557,5922,275,747,249,238,42,363,,,,,
2014-04-12,164665,real,66740,70183,19616,6055,279,758,261,246,50,477,,,,,
2014-04-13,164795,real,66767,70209,19622,6069,279,759,262,246,54,528,,,,,
2014-04-17,165595,real,67008,70342,19694,6157,281,764,273,257,62,757,,,,,
2014-04-18,165807,real,67166,70358,19696,6170,283,767,275,259,64,769,,,,,
2014-04-20,166642,real,67711,70470,19732,6195,294,780,281,267,74,838,,,,,
2014-05-02,169103,real,68941,70853,19937,6409,309,801,297,283,110,1163,,,,,
2014-05-06,169886,real,69260,71038,20011,6482,313,809,300,287,120,1266,,,,,
2014-05-11,170682,real,69606,71186,20101,6553,316,814,304,292,131,1379,,,,,
2014-06-16,175422,real,71455,72123,20653,6921,347,855,353,335,215,2165,,,,,
2014-07-01,177107,real,72041,72500,20843,7038,351,871,361,350,244,2508,,,,,
2014-07-23,179418,real,72865,72931,21166,7209,367,888,379,370,290,2953,,,,,
2014-07-28,179865,real,73039,73006,21234,7248,367,890,380,373,304,3024,,,,,
2014-08-06,180862,real,73385,73180,21393,7330,371,899,388,387,332,3197,,,,,
2014-09-08,184099,real,74560,73752,21876,7574,392,931,411,422,445,3736,,,,,
2014-09-09,184187,real,74590,73781,21884,7580,394,932,411,422,447,3746,,,,,
2014-09-13,184957,real,74764,73886,21945,7878,398,954,420,432,452,3828,,,,,
2014-09-14,185190,real,74794,73896,22091,7902,399,956,421,435,460,3836,,,,,
2014-09-21,186485,real,75088,74061,22544,8103,404,968,426,469,483,3939,,,,,
2014-09-22,186602,real,75118,74075,22578,8123,404,968,427,472,488,3949,,,,,
2014-09-23,187130,real,75206,74108,22653,8174,405,971,429,480,501,4203,,,,,
2014-09-25,188033,real,75775,74141,22749,8224,408,975,432,487,513,4329,,,,,
2014-09-26,188391,real,75968,74164,22802,8246,408,976,433,492,524,4378,,,,,
2014-09-29,189059,real,76306,74204,22886,8293,411,980,434,502,535,4508,,,,,
2014-10-07,191080,real,77223,74380,23181,8479,417,997,438,526,582,4857,,,,,
2014-10-09,191587,real,77430,74423,23270,8520,418,1006,440,529,597,4954,,,,,
2014-10-12,192110,real,77659,74481,23357,8565,419,1009,443,538,605,5034,,,,,
2014-10-23,194195,real,78496,74700,23700,8738,432,1019,451,561,687,5411,,,,,
2014-10-24,194416,real,78584,74721,23737,8764,432,1021,452,562,691,5452,,,,,
2014-10-27,194784,real,78719,74765,23798,8792,434,1025,455,566,702,5528,,,,,
2014-10-28,194965,real,78792,74784,23826,8807,434,1027,457,567,705,5566,,,,,
2014-10-30,195390,real,78960,74817,23890,8846,434,1032,457,571,722,5661,,,,,
2014-11-09,197011,real,79587,74989,24154,8979,443,1047,465,596,781,5970,,,,,
2014-11-10,197178,real,79648,75004,24182,8995,443,1050,465,600,789,6002,,,,,
2014-11-20,198995,real,80329,75215,24431,9177,453,1063,474,623,847,6383,,,,,
2014-11-25,199901,real,80701,75311,24569,9270,457,1070,481,631,872,6539,,,,,
2014-11-26,199998,real,80734,75331,24585,9277,457,1070,481,631,876,6556,,,,,
2014-11-26,200000,real,80734,75331,24585,9278,457,1070,481,631,876,6557,,,,,
2014-11-26,200010,real,80738,75332,24587,9279,457,1070,481,631,876,6559,,,,,
2014-12-12,202267,real,81572,75610,24906,9490,459,1084,488,663,943,7052,,,,,
2014-12-17,202922,real,81824,75686,24993,9552,460,1086,491,675,965,7190,,,,,
2014-12-21,203248,real,81892,75743,25057,9589,461,1088,492,678,978,7270,,,,,
2014-12-22,203442,real,82026,75758,25068,9601,461,1099,492,679,983,7275,,,,,
2014-12-23,203801,real,82065,75776,25084,9613,462,1104,492,682,985,7538,,,,,
2014-12-24,203954,real,82097,75791,25095,9620,462,1106,493,683,988,7619,,,,,
2015-01-05,206920,real,83877,75939,25373,9707,465,1131,499,698,1030,8201,,,,,
2015-01-16,209404,real,84960,76150,25741,9842,467,1154,508,726,1071,8785,,,,,
2015-01-19,209949,real,85197,76213,25831,9869,467,1155,511,730,1080,8896,,,,,
2015-01-21,210372,real,85385,76255,25900,9892,467,1157,511,734,1088,8983,,,,,
2015-01-27,211319,real,85789,76369,26041,9925,467,1163,512,741,1112,9200,,,,,
2015-03-16,218231,real,88587,77150,27052,10352,480,1231,536,818,1294,10731,,,,,
2015-04-23,222641,real,90329,77643,27770,10598,489,1266,551,900,1383,11712,,,,,
